# Programme: nSunsCAP3_RPE
sets,reps,weight,type,rpe,intensity
3,3,72.5,Default,5.67,80.39
1,3,75.0,AMRAP,6.78,82.89
Close Grip Bench
1,8,52.5,AMRAP,7.76,72.74
1,6,52.5,AMRAP,5.68,73.09
1,4,55.0,AMRAP EMOM,4.85,73.72
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,8,35.0,AMRAP,9.42,69.44
2,10,27.5,AMRAP,4.33,61.98
1,6,30.0,Opt AMRAP EMOM,3.15,64.26
Face Pull
1,8,22.5,AMRAP,10.0,73.86
2,10,20.0,AMRAP,8.2,66.25
1,6,22.5,Opt AMRAP EMOM,7.82,69.56
Leg Raise
1,6,10.0,AMRAP,9.92,78.98
2,8,10.0,AMRAP,10.0,70.54
1,4,10.0,Opt AMRAP EMOM,7.59,74.94
Day,9
Sumo Deadlift
4,8,87.5,Default,4.53,63.69
2,6,97.5,Default,5.54,70.75
1,6,100.0,Optional,6.29,73.09
Kroc Row
1,10,27.5,AMRAP,7.26,66.25
1,6,30.0,AMRAP,5.93,70.75
1,5,30.0,AMRAP EMOM,4.87,70.92
Side Raise
1,8,10.0,AMRAP,10.0,73.86
2,10,10.0,AMRAP,10.0,66.25
1,6,10.0,Opt AMRAP EMOM,9.92,69.56
Hammer Curl
1,8,15.0,AMRAP,10.0,73.86
2,10,15.0,AMRAP,10.0,66.25
1,6,15.0,Opt AMRAP EMOM,7.82,69.56
DB Incline Bench
1,10,30.0,AMRAP,8.2,65.21
2,12,25.0,AMRAP,4.79,58.36
1,8,25.0,Opt AMRAP EMOM,2.45,59.52
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,8,10.0,AMRAP,10.0,73.86
2,10,10.0,AMRAP,10.0,66.25
1,6,10.0,Opt AMRAP EMOM,9.92,69.56
V-Sit
5,12,7.5,AMRAP,10.0,80.0
