# Programme: nSuns CAP3-LP Hybrid
sets	reps	weight	type	rpe	intensity
Day,1
Flat Bench
1,5,45.0,Default,6.69,75.0
1,5,52.5,Default,11.65,87.5
1,1,57.5,Test,9.54,95.83
1,3,55.0,Default,10.73,91.67
1,3,52.5,Default,9.26,87.5
1,3,50.0,Default,7.68,83.33
1,5,45.0,Default,6.69,75.0
1,5,42.5,Default,4.96,70.83
1,5,40.0,AMRAP,3.41,66.67
Back Lever, Straddle
5,12,10.0,AMRAP,10.16,66.67
Pullup
1,6,10.0,AMRAP,9.92,80.0
3,8,7.5,AMRAP,3.65,60.0
1,4,8.75,Opt AMRAP EMOM,3.56,70.0
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,62.5
3,14,10.0,AMRAP,3.9,50.0
1,10,10.0,Opt AMRAP EMOM,2.2,50.0
Finger Curl
4,15,12.5,AMRAP,10.8,62.5
Dips
1,6,10.0,AMRAP,9.92,80.0
3,8,8.75,AMRAP,7.76,70.0
1,4,8.75,Opt AMRAP EMOM,3.56,70.0
Parallette Crunch
1,10,10.0,AMRAP,8.2,66.67
3,12,7.5,AMRAP,2.98,50.0
1,8,7.5,Opt AMRAP EMOM,1.54,50.0
Day,8
Flat Bench
4,3,70.0,Default,4.56,75.68
3,3,75.0,Default,6.78,81.08
1,3,77.5,AMRAP,7.85,83.78
Close Grip Bench
1,8,57.5,AMRAP,10.73,76.67
1,6,52.5,AMRAP,5.68,70.0
1,4,52.5,AMRAP EMOM,3.56,70.0
Wrist Curl
4,15,7.0,AMRAP,14.88,70.0
Wrist Extension
4,15,7.0,AMRAP,14.88,70.0
Dragon Flag
5,12,7.5,AMRAP,14.23,75.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.16,66.67
Lunge, Walking, Backstep, Dragon
1,8,32.5,AMRAP,7.04,68.42
3,10,27.5,AMRAP,4.33,57.89
1,6,30.0,Opt AMRAP EMOM,3.15,63.16
Face Pull
1,8,22.5,AMRAP,10.01,75.0
3,10,17.5,AMRAP,4.49,58.33
1,6,20.0,Opt AMRAP EMOM,4.35,66.67
Leg Raise
1,6,10.0,AMRAP,9.92,80.0
3,8,7.5,AMRAP,3.65,60.0
1,4,7.5,Opt AMRAP EMOM,1.23,60.0
Day,9
Sumo Deadlift
4,8,85.0,Default,3.89,60.71
2,6,90.0,Default,3.51,64.29
1,6,97.5,Optional,5.54,69.64
Kroc Row
1,10,32.5,AMRAP,12.79,76.47
1,6,27.5,AMRAP,3.65,64.71
1,5,27.5,AMRAP EMOM,2.81,64.71
Side Raise
1,8,10.0,AMRAP,12.14,80.0
3,10,7.5,AMRAP,5.15,60.0
1,6,7.5,Opt AMRAP EMOM,2.33,60.0
Hammer Curl
1,8,15.0,AMRAP,10.01,75.0
3,10,12.5,AMRAP,6.23,62.5
1,6,12.5,Opt AMRAP EMOM,2.96,62.5
DB Incline Bench
1,10,30.0,AMRAP,8.2,66.67
3,12,25.0,AMRAP,4.79,55.56
1,8,27.5,Opt AMRAP EMOM,4.03,61.11
Plate Pinch
4,15,17.5,AMRAP,11.44,63.64
Zottman Curl
1,8,10.0,AMRAP,12.14,80.0
3,10,7.5,AMRAP,5.15,60.0
1,6,7.5,Opt AMRAP EMOM,2.33,60.0
V-Sit
5,12,7.5,AMRAP,14.23,75.0
Day,10
Rest
Day,11
Low Bar Squat
1,6,92.5,Test,10.1,80.43
1,4,97.5,Test,9.47,84.78
1,2,102.5,Test,8.58,89.13
Overhead Press
1,6,30.0,Default,0.99,50.0
1,5,37.5,Default,2.24,62.5
1,3,42.5,Default,2.73,70.83
1,5,42.5,Default,4.96,70.83
1,7,42.5,Default,7.09,70.83
1,4,42.5,Default,3.87,70.83
1,6,42.5,Default,6.04,70.83
1,8,42.5,Default,8.13,70.83
Back Lever, Straddle
5,12,10.0,AMRAP,10.16,66.67
Pullup
1,4,11.25,AMRAP,11.36,90.0
3,6,8.75,AMRAP,5.68,70.0
1,3,10.0,Opt AMRAP EMOM,6.34,80.0
Calf Raise, Standing
1,10,15.0,AMRAP,12.13,75.0
3,12,10.0,AMRAP,2.98,50.0
1,8,12.5,Opt AMRAP EMOM,4.53,62.5
Finger Curl
4,15,12.5,AMRAP,10.8,62.5
Dips
1,10,8.75,AMRAP,9.8,70.0
3,12,6.25,AMRAP,2.98,50.0
1,8,7.5,Opt AMRAP EMOM,3.65,60.0
Ab Rollout, Kneeling
5,12,7.5,AMRAP,14.23,75.0
Day,12
Flat Bench
4,6,65.0,Default,5.8,70.27
4,5,72.5,Default,8.11,78.38
1,5,75.0,Optional,9.21,81.08
Close Grip Bench
1,8,60.0,Default,12.14,80.0
3,6,55.0,Default,7.11,73.33
Wrist Curl
4,15,7.0,AMRAP,14.88,70.0
Wrist Extension
4,15,7.0,AMRAP,14.88,70.0
Land Mine Anti-Rotation
1,6,40.0,AMRAP,9.92,80.0
3,8,35.0,AMRAP,7.76,70.0
1,4,37.5,Opt AMRAP EMOM,5.53,75.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.16,66.67
Bulgarian Split Squat
1,8,25.0,AMRAP,6.26,66.67
3,10,22.5,AMRAP,5.15,60.0
1,6,25.0,Opt AMRAP EMOM,4.35,66.67
Face Pull
1,8,22.5,AMRAP,10.01,75.0
3,10,17.5,AMRAP,4.49,58.33
1,6,20.0,Opt AMRAP EMOM,4.35,66.67
Toes to Bar
