# Programme: nSuns CAP3 + OHP 6 Day LP Hybrid
sets,reps,weight,type,rpe,intensity
4,15,12.5,AMRAP,10.0,61.09
Dips
1,6,10.0,AMRAP,9.92,75.42
3,8,8.75,AMRAP,7.76,70.54
1,4,8.75,Opt AMRAP EMOM,3.56,78.56
Parallette Crunch
1,10,10.0,AMRAP,8.2,61.98
3,12,7.5,AMRAP,2.98,58.36
1,8,7.5,Opt AMRAP EMOM,1.54,63.69
Day,8
Flat Bench
4,3,70.0,Default,4.56,77.0
3,3,75.0,Default,6.78,77.0
1,3,77.5,AMRAP,7.85,77.0
Close Grip Bench
1,8,57.5,AMRAP,10.0,75.3
1,6,52.5,AMRAP,5.68,71.71
1,4,52.5,AMRAP EMOM,3.56,71.71
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,8,32.5,AMRAP,7.04,66.07
3,10,27.5,AMRAP,4.33,61.98
1,6,30.0,Opt AMRAP EMOM,3.15,68.33
Face Pull
1,8,22.5,AMRAP,10.0,70.54
3,10,17.5,AMRAP,4.49,66.25
1,6,20.0,Opt AMRAP EMOM,4.35,73.09
Leg Raise
1,6,10.0,AMRAP,9.92,75.42
3,8,7.5,AMRAP,3.65,70.54
1,4,7.5,Opt AMRAP EMOM,1.23,78.56
Day,9
Sumo Deadlift
4,8,85.0,Default,3.89,62.0
2,6,90.0,Default,3.51,62.5
1,6,97.5,Optional,5.54,65.0
Kroc Row
1,10,32.5,AMRAP,10.0,71.71
1,6,27.5,AMRAP,3.65,66.91
1,5,27.5,AMRAP EMOM,2.81,66.91
Side Raise
1,8,10.0,AMRAP,10.0,70.54
3,10,7.5,AMRAP,5.15,66.25
1,6,7.5,Opt AMRAP EMOM,2.33,73.09
Hammer Curl
1,8,15.0,AMRAP,10.0,70.54
3,10,12.5,AMRAP,6.23,66.25
1,6,12.5,Opt AMRAP EMOM,2.96,73.09
DB Incline Bench
1,10,30.0,AMRAP,8.2,61.98
3,12,25.0,AMRAP,4.79,58.36
1,8,27.5,Opt AMRAP EMOM,4.03,63.69
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,8,10.0,AMRAP,10.0,70.54
3,10,7.5,AMRAP,5.15,66.25
1,6,7.5,Opt AMRAP EMOM,2.33,73.09
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,10
Rest
Day,11
Low Bar Squat
1,6,92.5,Test,10.0,79.5
1,4,97.5,Test,9.47,83.5
1,2,102.5,Test,8.58,88.5
Overhead Press
1,6,30.0,Default,0.99,50.0
1,5,37.5,Default,2.24,60.0
1,3,42.5,Default,2.73,70.0
1,5,42.5,Default,4.96,70.0
1,7,42.5,Default,7.09,70.0
1,4,42.5,Default,3.87,70.0
1,6,42.5,Default,6.04,70.0
1,8,42.5,Default,8.13,70.0
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,4,11.25,AMRAP,10.0,81.03
3,6,8.75,AMRAP,5.68,75.42
1,3,10.0,Opt AMRAP EMOM,6.34,81.63
Calf Raise, Standing
1,10,15.0,AMRAP,10.0,64.16
3,12,10.0,AMRAP,2.98,60.46
1,8,12.5,Opt AMRAP EMOM,4.53,66.07
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,10,8.75,AMRAP,9.8,61.98
3,12,6.25,AMRAP,2.98,58.36
1,8,7.5,Opt AMRAP EMOM,3.65,63.69
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,12
Flat Bench
4,6,65.0,Default,5.8,72.5
4,5,72.5,Default,8.11,74.0
1,5,75.0,Optional,9.21,75.5
Close Grip Bench
1,8,60.0,Default,10.0,79.28
3,6,55.0,Default,7.11,75.3
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,6,40.0,AMRAP,9.92,75.42
3,8,35.0,AMRAP,7.76,70.54
1,4,37.5,Opt AMRAP EMOM,5.53,78.56
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,8,25.0,AMRAP,6.26,66.07
3,10,22.5,AMRAP,5.15,61.98
1,6,25.0,Opt AMRAP EMOM,4.35,68.33
Face Pull
1,8,22.5,AMRAP,10.0,70.54
3,10,17.5,AMRAP,4.49,66.25
1,6,20.0,Opt AMRAP EMOM,4.35,73.09
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,13
Deadlift
4,4,125.0,Default,6.32,74.0
2,4,127.5,Default,6.96,75.0
1,4,132.5,AMRAP,8.2,75.0
Pendlay Row, Cheat
1,10,100.0,AMRAP,10.0,75.3
1,8,95.0,AMRAP,8.53,71.71
1,5,95.0,AMRAP EMOM,5.32,71.71
Side Raise
1,10,10.0,AMRAP,10.0,64.16
3,12,7.5,AMRAP,6.77,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,66.07
Hammer Curl
1,10,15.0,AMRAP,10.0,64.16
3,12,10.0,AMRAP,2.98,60.46
1,8,12.5,Opt AMRAP EMOM,4.53,66.07
DB Incline Bench
1,6,35.0,AMRAP,9.0,75.42
3,8,30.0,AMRAP,6.26,70.54
1,4,35.0,Opt AMRAP EMOM,6.68,78.56
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,10,10.0,AMRAP,10.0,64.16
3,12,7.5,AMRAP,6.77,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,66.07
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,14
Front Squat
4,5,57.5,Default,5.39,73.0
4,4,60.0,Default,5.53,74.0
1,4,67.5,Optional,9.31,75.5
Overhead Press
1,5,45.0,Default,6.69,75.0
1,5,52.5,Default,10.0,85.0
1,1,57.5,Test,9.54,95.0
1,3,55.0,Default,10.0,90.0
1,3,52.5,Default,9.26,85.0
1,3,50.0,Default,7.68,80.0
1,5,45.0,Default,6.69,75.0
1,5,42.5,Default,4.96,70.0
1,5,40.0,AMRAP,3.41,65.0
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,6,10.0,AMRAP,9.92,73.09
3,8,7.5,AMRAP,3.65,68.33
1,4,8.75,Opt AMRAP EMOM,3.56,76.15
Calf Raise, Standing
1,12,12.5,AMRAP,8.02,58.36
3,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,59.64
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,6,10.0,AMRAP,9.92,75.42
3,8,8.75,AMRAP,7.76,70.54
1,4,8.75,Opt AMRAP EMOM,3.56,78.56
Parallette Crunch
1,6,12.5,AMRAP,10.0,75.42
3,8,10.0,AMRAP,6.26,70.54
1,4,10.0,Opt AMRAP EMOM,2.5,78.56
Day,15
Rest
Day,16
Flat Bench
1,6,75.0,Test,10.0,79.5
1,4,77.5,Test,9.09,83.5
1,2,82.5,Test,8.6,88.5
Close Grip Bench
1,12,52.5,AMRAP,10.0,66.91
1,10,45.0,AMRAP,5.15,62.72
1,6,45.0,AMRAP EMOM,2.33,62.72
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,4,40.0,AMRAP,9.25,81.03
3,6,35.0,AMRAP,7.26,75.42
1,3,37.5,Opt AMRAP EMOM,5.91,81.63
Face Pull
1,12,20.0,AMRAP,10.0,58.36
3,14,15.0,AMRAP,3.9,55.15
1,10,17.5,Opt AMRAP EMOM,4.49,59.64
Leg Raise
1,10,10.0,AMRAP,10.0,61.98
3,12,5.0,AMRAP,1.35,58.36
1,8,7.5,Opt AMRAP EMOM,3.65,63.69
Day,17
Sumo Deadlift
5,6,95.0,Default,4.81,68.0
2,5,100.0,Default,5.21,68.0
1,5,105.0,AMRAP,6.69,70.0
Kroc Row
1,8,32.5,AMRAP,10.0,75.3
1,5,30.0,AMRAP,4.87,71.71
1,4,30.0,AMRAP EMOM,3.78,71.71
Side Raise
1,12,7.5,AMRAP,6.77,58.36
3,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,59.64
Hammer Curl
1,12,12.5,AMRAP,8.02,58.36
3,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,59.64
DB Incline Bench
1,8,32.5,AMRAP,8.76,68.33
3,10,27.5,AMRAP,5.62,64.16
1,6,30.0,Opt AMRAP EMOM,4.35,70.75
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,12,7.5,AMRAP,6.77,58.36
3,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,59.64
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,18
Low Bar Squat
3,4,87.5,Default,5.98,73.5
3,4,95.0,Default,8.63,74.0
1,4,97.5,AMRAP,9.47,75.5
Overhead Press
1,6,30.0,Default,0.99,50.0
1,5,37.5,Default,2.24,60.0
1,3,42.5,Default,2.73,70.0
1,5,42.5,Default,4.96,70.0
1,7,42.5,Default,7.09,70.0
1,4,42.5,Default,3.87,70.0
1,6,42.5,Default,6.04,70.0
1,8,42.5,Default,8.13,70.0
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,8,8.75,AMRAP,7.76,66.07
3,10,7.5,AMRAP,5.15,61.98
1,6,7.5,Opt AMRAP EMOM,2.33,68.33
Calf Raise, Standing
1,8,15.0,AMRAP,10.0,70.54
3,10,12.5,AMRAP,6.23,66.25
1,6,12.5,Opt AMRAP EMOM,2.96,73.09
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,8,8.75,AMRAP,7.76,68.33
3,10,7.5,AMRAP,5.15,64.16
1,6,8.75,Opt AMRAP EMOM,5.68,70.75
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,19
Flat Bench
4,8,55.0,Default,3.48,62.0
2,6,62.5,Default,4.7,62.5
1,6,67.5,AMRAP,6.95,65.0
Close Grip Bench
1,10,55.0,AMRAP,10.0,71.71
1,10,50.0,AMRAP,8.2,66.91
1,5,50.0,AMRAP EMOM,3.41,66.91
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,8,35.0,AMRAP,7.76,68.33
3,10,30.0,AMRAP,5.15,64.16
1,6,35.0,Opt AMRAP EMOM,5.68,70.75
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,6,27.5,AMRAP,7.11,73.09
3,8,25.0,AMRAP,6.26,68.33
1,4,27.5,Opt AMRAP EMOM,4.85,76.15
Face Pull
1,12,20.0,AMRAP,10.0,58.36
3,14,15.0,AMRAP,3.9,55.15
1,10,17.5,Opt AMRAP EMOM,4.49,59.64
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,20
Rest
Day,21
Deadlift
4,3,130.0,Default,6.34,77.0
3,3,135.0,Default,7.58,77.0
1,3,140.0,AMRAP,8.76,77.0
Pendlay Row, Cheat
1,8,97.5,AMRAP,9.38,71.71
1,6,87.5,AMRAP,4.12,66.91
1,4,87.5,AMRAP EMOM,2.33,66.91
Side Raise
1,12,7.5,AMRAP,6.77,58.36
3,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,59.64
Hammer Curl
1,12,12.5,AMRAP,8.02,58.36
3,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,59.64
DB Incline Bench
1,8,32.5,AMRAP,8.76,68.33
3,10,27.5,AMRAP,5.62,64.16
1,6,30.0,Opt AMRAP EMOM,4.35,70.75
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,12,7.5,AMRAP,6.77,58.36
3,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,59.64
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,22
Front Squat
4,5,57.5,Default,5.39,73.0
4,4,60.0,Default,5.53,74.0
1,4,67.5,Optional,9.31,75.5
Overhead Press
1,5,45.0,Default,6.69,75.0
1,5,52.5,Default,10.0,85.0
1,1,57.5,Test,9.54,95.0
1,3,55.0,Default,10.0,90.0
1,3,52.5,Default,9.26,85.0
1,3,50.0,Default,7.68,80.0
1,5,45.0,Default,6.69,75.0
1,5,42.5,Default,4.96,70.0
1,5,40.0,AMRAP,3.41,65.0
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,8,8.75,AMRAP,7.76,66.07
3,10,7.5,AMRAP,5.15,61.98
1,6,7.5,Opt AMRAP EMOM,2.33,68.33
Calf Raise, Standing
1,8,15.0,AMRAP,10.0,70.54
3,10,12.5,AMRAP,6.23,66.25
1,6,12.5,Opt AMRAP EMOM,2.96,73.09
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,8,8.75,AMRAP,7.76,68.33
3,10,7.5,AMRAP,5.15,64.16
1,6,8.75,Opt AMRAP EMOM,5.68,70.75
Parallette Crunch
1,8,12.5,AMRAP,10.0,68.33
3,10,7.5,AMRAP,2.2,64.16
1,6,10.0,Opt AMRAP EMOM,4.35,70.75
Day,23
Rest
