# Programme: DCG_YugeStr
sets,reps,weight,type,rpe,intensity
2,16,12.5,AMRAP,3.35,52.26
1,12,12.5,Opt AMRAP EMOM,2.04,51.88
Zottman Curl
1,14,7.5,AMRAP,8.5,58.14
2,16,5.0,AMRAP,2.12,52.26
1,12,5.0,Opt AMRAP EMOM,1.35,51.88
Parallette Crunch
1,12,10.0,AMRAP,10.0,61.47
2,14,7.5,AMRAP,3.9,55.15
1,10,7.5,Opt AMRAP EMOM,2.2,55.44
Day,8
Flat Bench
1,16,50.0,Default,6.91,56.05
1,14,52.5,Default,6.79,59.08
1,12,57.5,AMRAP,7.85,62.46
Wrist Extension
1,12,7.0,AMRAP,10.0,63.44
2,14,6.0,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,2.2,58.36
Wrist Curl
1,12,7.0,AMRAP,10.0,63.44
2,14,6.0,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,2.2,58.36
Kroc Row
1,16,20.0,Default,3.85,52.26
1,14,22.5,Default,5.01,55.15
1,12,22.5,AMRAP,3.84,58.36
Dragon Flag
5,12,7.5,AMRAP,10.0,80.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,10,32.5,AMRAP,9.05,67.29
2,12,30.0,AMRAP,8.35,60.46
1,8,27.5,Opt AMRAP EMOM,3.02,62.41
Face Pull
1,12,20.0,AMRAP,10.0,63.44
2,14,17.5,AMRAP,7.6,57.17
1,10,17.5,Opt AMRAP EMOM,4.49,58.36
Day,9
Front Squat
1,16,40.0,Default,4.96,52.26
1,14,42.5,Default,5.09,55.15
1,12,45.0,AMRAP,5.07,58.36
Overhead Press
1,16,32.5,Default,6.97,56.05
1,14,35.0,Default,7.6,59.08
1,12,35.0,AMRAP,5.99,62.46
Archer Pullup
1,10,0.0,AMRAP,NaN,67.29
2,12,0.0,AMRAP,NaN,60.46
1,8,0.0,Opt AMRAP EMOM,NaN,62.41
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,12,15.0,AMRAP,10.0,63.44
2,14,12.5,AMRAP,9.86,57.17
1,10,10.0,Opt AMRAP EMOM,2.2,58.36
Finger Curl
1,12,15.0,AMRAP,10.0,63.44
2,14,12.5,AMRAP,9.86,57.17
1,10,10.0,Opt AMRAP EMOM,2.2,58.36
Leg Raise
1,10,10.0,AMRAP,10.0,67.29
2,12,10.0,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
Day,10
Deadlift
1,16,90.0,Default,7.63,56.05
1,14,95.0,Default,7.67,59.08
1,12,100.0,AMRAP,7.53,62.46
Single Leg Hip Thrust
1,16,5.0,Default,4.96,52.26
1,14,5.0,Default,3.9,55.15
1,12,5.0,AMRAP,2.98,58.36
Side Raise
1,12,10.0,AMRAP,10.0,63.44
2,14,7.5,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,1.03,58.36
Dips
1,10,8.75,AMRAP,9.8,67.29
2,12,8.75,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
Bulgarian Split Squat
1,10,27.5,AMRAP,10.0,67.29
2,12,25.0,AMRAP,10.0,60.46
1,8,22.5,Opt AMRAP EMOM,3.65,62.41
Plate Pinch
1,12,17.5,AMRAP,8.6,63.44
2,14,17.5,AMRAP,10.0,57.17
1,10,15.0,Opt AMRAP EMOM,3.24,58.36
Zottman Curl
1,12,10.0,AMRAP,10.0,63.44
2,14,7.5,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,1.03,58.36
Parallette Crunch
1,12,10.0,AMRAP,10.0,61.47
2,14,7.5,AMRAP,3.9,55.15
1,10,7.5,Opt AMRAP EMOM,2.2,55.44
Day,11
Rest
Day,12
Close Grip Bench
1,16,47.5,Default,5.57,52.26
1,14,50.0,Default,5.5,55.15
1,12,52.5,AMRAP,5.29,58.36
Wrist Extension
1,12,7.0,AMRAP,10.0,63.44
2,14,6.0,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,2.2,58.36
Wrist Curl
1,12,7.0,AMRAP,10.0,63.44
2,14,6.0,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,2.2,58.36
Pendlay Row, Cheat
1,16,72.5,Default,7.27,56.05
1,14,77.5,Default,7.69,59.08
1,12,82.5,AMRAP,7.9,62.46
Land Mine Anti-Rotation
1,10,35.0,AMRAP,9.8,67.29
2,12,32.5,AMRAP,9.3,60.46
1,8,30.0,Opt AMRAP EMOM,3.65,62.41
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,10,32.5,AMRAP,9.05,67.29
2,12,30.0,AMRAP,8.35,60.46
1,8,27.5,Opt AMRAP EMOM,3.02,62.41
Face Pull
1,12,20.0,AMRAP,10.0,63.44
2,14,17.5,AMRAP,7.6,57.17
1,10,17.5,Opt AMRAP EMOM,4.49,58.36
Day,13
Low Bar Squat
1,16,62.5,Default,7.07,56.05
1,14,67.5,Default,7.8,59.08
1,12,70.0,AMRAP,7.2,62.46
Dumbell Overhead Press
1,16,25.0,Default,4.96,52.26
1,14,27.5,Default,5.93,55.15
1,12,27.5,AMRAP,4.57,58.36
Pullup
1,10,8.75,AMRAP,9.8,67.29
2,12,8.75,AMRAP,10.0,60.46
1,8,7.5,Opt AMRAP EMOM,3.65,62.41
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,12,15.0,AMRAP,10.0,63.44
2,14,12.5,AMRAP,9.86,57.17
1,10,10.0,Opt AMRAP EMOM,2.2,58.36
Finger Curl
1,12,15.0,AMRAP,10.0,63.44
2,14,12.5,AMRAP,9.86,57.17
1,10,10.0,Opt AMRAP EMOM,2.2,58.36
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,14
Sumo Deadlift
1,16,72.5,Default,5.77,52.26
1,14,75.0,Default,5.28,55.15
1,12,80.0,AMRAP,5.45,58.36
Hip Thrust
1,16,55.0,Default,7.42,56.05
1,14,57.5,Default,7.17,59.08
1,12,60.0,AMRAP,6.77,62.46
Side Raise
1,12,10.0,AMRAP,10.0,63.44
2,14,7.5,AMRAP,8.5,57.17
1,10,5.0,Opt AMRAP EMOM,1.03,58.36
DB Incline Bench
1,10,32.5,AMRAP,10.0,67.29
2,12,27.5,AMRAP,7.32,60.46
1,8,27.5,Opt AMRAP EMOM,4.03,62.41
Bulgarian Split Squat
1,10,27.5,AMRAP,10.0,67.29
2,12,25.0,AMRAP,10.0,60.46
1,8,22.5,Opt AMRAP EMOM,3.65,62.41
Plate Pinch
1,12,17.5,AMRAP,8.6,63.44
2,14,17.5,AMRAP,10.0,57.17
1,10,15.0,Opt AMRAP EMOM,3.24,58.36
Zottman Curl
1,12,10.0,AMRAP,10.0,63.44
2,14,7.5,AMRAP,8.5,57.17
